Company Name,ATS Type,Slug or URL,Notes
BlackBerry QNX,url,https://bb.wd3.myworkdayjobs.com/en-US/Student_BlackBerry/jobs,BlackBerry Waterloo/Ottawa
Mitel Networks,url,https://mitel.wd1.myworkdayjobs.com/en-US/MitelExternal/jobs?q=co-op+intern,Mitel Ottawa
Ciena Canada,url,https://ciena.wd5.myworkdayjobs.com/en-US/Careers/jobs?q=co-op+intern,Ciena Ottawa
Ribbon Communications,url,https://careers.ribboncommunications.com/careers,Ribbon Ottawa
ADGA Group,url,https://www.adga.ca/careers,ADGA Group Ottawa (Defence Tech)
L3Harris Canada,url,https://careers.l3harris.com/search/?q=co-op+intern&locationsearch=Ontario,L3Harris Ottawa
Curtiss-Wright,url,https://careers.curtisswright.com/search/?q=co-op+intern&locationsearch=Ontario,Curtiss-Wright Ottawa
General Dynamics CA,url,https://gdmissionsystems.wd5.myworkdayjobs.com/en-US/Search/jobs?q=co-op+intern,General Dynamics Ottawa
Raytheon Canada,url,https://careers.rtx.com/global/en/search-results?keywords=co-op+intern&location=Ontario,Raytheon Canada
BAE Systems CA,url,https://jobs.baesystems.com/global/en/search-results?keywords=intern+co-op&location=Canada,BAE Systems Canada
Lumentum Ottawa,url,https://lumentum.wd5.myworkdayjobs.com/en-US/LITE/jobs?q=co-op+intern,Lumentum Ottawa
Zebra Technologies,url,https://zebra.eightfold.ai/careers?query=intern+co-op&location=Mississauga,Zebra Tech Mississauga
Motorola Solutions,url,https://motorolasolutions.wd5.myworkdayjobs.com/en-US/Careers/jobs?q=co-op+intern,Motorola Waterloo
Toyota TMMC,url,https://tmmc.ca/en/coop-jobs/,Toyota TMMC Cambridge/Woodstock
Magna International,url,https://www.magna.com/company/careers,Magna International Aurora ON
Martinrea International,url,https://www.martinrea.com/careers,Martinrea Vaughan ON
Linamar Corporation,url,https://www.linamar.com/careers,Linamar Guelph ON
ABC Technologies,url,https://abctechnologies.com/about/careers,ABC Technologies Toronto
Celestica,url,https://jobs.celestica.com/search/?q=intern+co-op&l=Ontario,Celestica Toronto
Flex Canada,url,https://flex.com/careers,Flex Ltd Canada
Ericsson Canada,url,https://jobs.ericsson.com/careers?query=co-op+intern&location=Ontario,Ericsson Mississauga/Ottawa
Huawei Canada,url,https://www.huawei.com/ca/about/jobs,Huawei R&D Waterloo/Ottawa
Qualcomm Canada,url,https://www.qualcomm.com/company/careers,Qualcomm Markham
AMD Canada,url,https://careers.amd.com/careers-home/jobs?keywords=intern+co-op&location=Ontario,AMD Markham
NVIDIA Canada,url,https://www.nvidia.com/en-us/about-nvidia/careers/,NVIDIA Toronto
AWS Canada,url,https://amazon.jobs/en/teams/aws?base_query=intern+co-op&loc_query=Ontario,AWS Canada
Salesforce Canada,url,https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/jobs?q=intern+co-op,Salesforce Toronto
Slack Canada,url,https://slack.com/intl/en-ca/careers,Slack / Salesforce Toronto
Dropbox Canada,url,https://careers.dropbox.com/locations/toronto,Dropbox Toronto
Stripe Canada,greenhouse,stripe,Stripe Toronto
Twilio Canada,greenhouse,twilio,Twilio Canada
Atlassian Canada,url,https://www.atlassian.com/company/careers/all-jobs?team=&location=Canada&search=intern,Atlassian Canada
Shopify Partners,greenhouse,shopify,Shopify Ottawa (extra)
Wattpad,greenhouse,wattpad,Wattpad Toronto
Wealthsimple,greenhouse,wealthsimple,Wealthsimple Toronto
KOHO Financial,lever,koho,KOHO Toronto
Xanadu Quantum,lever,xanadu,Xanadu Quantum Toronto
Arctic Wolf,lever,arcticwolf,Arctic Wolf Waterloo
MDA Space,url,https://mda.space/en/careers/,MDA Space Brampton
Sinclar Group,url,https://www.sinclairgroup.ca/careers,Sinclair Group Toronto
IDEXX Canada,url,https://careers.idexx.com/us/en/search-results?keywords=intern+co-op&location=Ontario,IDEXX Laboratories Ontario
Hatch Ltd,url,https://www.hatch.com/en-US/careers,Hatch Engineering Mississauga
WSP Canada,url,https://www.wsp.com/en-ca/careers,WSP Engineering Toronto
Stantec Canada,url,https://www.stantec.com/en/careers,Stantec Ontario
AECOM Canada,url,https://aecom.jobs/canada-jobs/?q=co-op+intern&l=Ontario,AECOM Canada
SNC-Lavalin,url,https://www.snclavalin.com/en/careers,SNC-Lavalin Toronto
GHD Canada,url,https://www.ghd.com/en/careers/,GHD Engineering Ontario
OPG (Ontario Power Generation),url,https://www.opg.com/careers/,Ontario Power Generation Darlington
Bruce Power,url,https://www.brucepower.com/careers/,Bruce Power Tiverton ON
Kinectrics,url,https://www.kinectrics.com/careers/,Kinectrics Toronto (Nuclear)
Canadian Nuclear Laboratories,url,https://www.cnl.ca/careers/,CNL Chalk River/Mississauga
Metrolinx,url,https://jobs.metrolinx.com/search/?q=intern+co-op,Metrolinx Toronto
TTC Toronto,url,https://jobs.ttc.ca/en-US/job/search/q-co-op+intern,TTC Toronto
City of Toronto,url,https://jobs.toronto.ca/jobsatcity/search/?q=student+co-op+intern,City of Toronto
Province of Ontario,url,https://www.gojobs.gov.on.ca/csr/jsqs.aspx,Government of Ontario
